"","rank","namePlayer","position_abbreviation","team_abbreviation","TOTAL_100"
"329",329,"Tristan da Silva","F","ORL",43.5579973943495
"330",330,"Kyshawn George","F","WSH",43.2471537637423
"331",331,"Svi Mykhailiuk","SG","UTAH",42.5542083840513
"332",332,"Josh Green","SG","CHA",41.8245094130073
"333",333,"Jaden Hardy","G","DAL",41.8007277553797
"334",334,"Kyle Kuzma","SF","MIL",41.5759579717341
"335",335,"Dillon Jones","G","OKC",40.890165389007
"336",336,"Jalen Wilson","F","BKN",40.5263441423244
"337",337,"Bub Carrington","G","WSH",40.0846500141002
"338",338,"Jordan Hawkins","G","NO",39.9078535810913
"339",339,"KJ Simpson","G","CHA",39.6096296616534
"340",340,"Noah Clowney","F","BKN",37.7149779812107
"341",341,"Jett Howard","G","ORL",37.7127361059938
"342",342,"AJ Johnson","G","WSH",36.8019216872151
"343",343,"Nick Smith Jr.","G","CHA",36.4188585990334
"344",344,"Maxi Kleber","PF","DAL",36.0579676368265
"345",345,"Cody Williams","F","UTAH",32.6526632732957
